carmake,id
Audi,1900
Volkswagen,25200
Citroen,5900
BMW,3500
Chevrolet,5600
Dacia,6600
Dodge,7700
Ferrari,8600
Fiat,8800
Ford,9000
Honda,11000
Hyandai,11600
Jaguar,12400
Jeep,12600
Kia,13200
Lancia,14700
Land Rover,14800
Lexus,15200
Maserati,16600
Mazda,16800
Mercedes-Benz,17200
Mini,17500
Mitsubishi,17700
Nissan,18700
Opel,19000
Peugeot,19300
Porsche,20100
Renault,20700
Saab,21800
Seat,22500
Skoda,22900
Smart,23000
Ssangyong,23100
Subaru,23500
Suzuki,23600
Toyota,24100
Volvo,25100
Alfa Romeo,900
